name,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
"must_be_doin_somethin_right","0.625","0.0484","167.975","0.027","0.203","0","4","0.483","9","269667","-3.848","0.366","1"
"people_are_crazy","0.714","0.127","141.969","0.0265","0.229","0.000744","4","0.657","5","232053","-4.986","0.361","1"
"remind_me","0.726","0.225","140.781","0.0327","0.0603","1.75e-05","4","0.485","5","271907","-4.2","0.288","1"
"shes_everything","0.478","0.194","102.971","0.0335","0.569","2.9e-06","4","0.355","0","266920","-8.323","0.269","1"
"without_a_fight","0.862","0.12","112.953","0.0337","0.00492","0","4","0.583","0","234587","-5.804","0.671","1"
"love_someone","0.813","0.0732","173.995","0.0507","0.218","1.62e-06","4","0.423","9","211720","-5.011","0.421","1"
"in_case_you_didn't_know","0.536","0.102","147.986","0.0305","0.386","0","4","0.607","10","224853","-7.306","0.434","1"
"before_he_cheats","0.749","0.119","147.905","0.0405","0.271","0","4","0.519","6","199947","-3.318","0.29","0"
"carolina_can","0.642","0.105","157.981","0.0302","0.0269","0","4","0.479","11","220455","-5.727","0.372","1"
"three_chords_and_the_truth","0.889","0.143","166.074","0.0462","0.0275","0","4","0.44","8","234187","-4.723","0.409","1"
"i_don't_know_about_you","0.808","0.119","144.028","0.0615","0.601","0","4","0.594","1","207933","-5.749","0.73","1"
"all_i_ever_needed","0.795","0.303","122.037","0.0309","0.000472","2.01e-05","4","0.554","10","244507","-6.486","0.552","1"
"dust","0.925","0.138","130.958","0.039","0.0262","0.00327","4","0.586","0","198933","-3.744","0.495","1"
"even_if_it_breaks_your_heart","0.527","0.0969","104.032","0.0277","0.000159","0.0117","4","0.667","0","220520","-4.6","0.664","1"
"desperate_man","0.796","0.262","109.991","0.0341","0.0716","0.0045","4","0.711","10","208733","-5.87","0.901","1"
"round_here_buzz","0.441","0.107","76.078","0.0347","0.0422","1.33e-05","4","0.638","2","214627","-9.064","0.473","1"
"youre_in_it","0.885","0.378","112.027","0.0385","0.0306","0","4","0.582","11","196427","-5.45","0.593","1"
"dont_tread_on_me","0.899","0.117","123.987","0.0648","0.0643","5.36e-06","4","0.712","4","214280","-5.078","0.58","0"
"happens_like_that","0.807","0.234","81.045","0.0825","0.189","0","4","0.557","7","171493","-5.428","0.578","1"
"if_the_boot_fits","0.928","0.0467","162.069","0.0456","0.0252","2.88e-06","4","0.528","3","170093","-5.743","0.885","1"
"down_to_the_honkytonk","0.828","0.0976","82.059","0.0565","0.162","0","4","0.623","3","183140","-4.272","0.953","1"
"i_was_jack","0.878","0.0505","94.014","0.0452","0.0875","0","4","0.612","6","188013","-3.556","0.599","1"
"the_truth","0.577","0.109","143.014","0.0257","0.234","2.4e-06","4","0.496","9","238413","-5.305","0.381","1"
"tonight_looks_good_on_you","0.75","0.0958","169.958","0.0537","0.219","1.2e-06","4","0.481","6","231667","-5.593","0.523","0"
"you_make_it_easy","0.574","0.11","132.025","0.0315","0.143","0","3","0.375","7","196800","-5.305","0.406","1"
"homesick","0.492","0.132","97.001","0.0307","0.417","0","4","0.7","8","205324","-8.84","0.449","1"
"lose_it","0.869","0.29","91.988","0.0289","0.00261","1.77e-06","4","0.549","4","178733","-4.905","0.433","0"
"greatest_love_story","0.617","0.119","147.986","0.0561","0.401","0","4","0.671","10","222573","-8.72","0.62","1"
"angel_eyes","0.696","0.0753","108.015","0.0261","0.0134","0","4","0.656","8","186627","-5.917","0.966","1"
"whiskey_on_my_breath","0.388","0.12","143.979","0.0283","0.127","5.83e-06","4","0.62","2","279187","-8.666","0.283","1"
"crash_my_party","0.823","0.246","144.09","0.0431","0.0309","0","4","0.526","7","234760","-4.03","0.435","1"
"hurricane","0.813","0.254","75.975","0.0416","0.0153","0","4","0.464","10","222533","-6.185","0.516","1"
"one_number_away","0.781","0.191","144.075","0.0311","0.00585","0","4","0.544","6","221800","-6.16","0.527","0"
"she_got_the_best_of_me","0.907","0.386","150.99","0.0406","0.0292","0","4","0.533","11","183160","-3.793","0.7","1"
"when_it_rains_it_pours","0.801","0.265","128.027","0.0303","0.013","6.03e-06","4","0.551","6","240760","-5.069","0.625","1"
"fly","0.68","0.175","156.038","0.0278","0.606","0","4","0.512","5","217293","-4.112","0.26","1"
"friends_don't","0.774","0.168","99.971","0.0459","0.0399","0","4","0.523","7","187996","-5.982","0.46","1"
"the_way_i_talk","0.879","0.0936","137.993","0.0323","0.0498","0","4","0.604","4","208280","-3.389","0.765","1"
"up_down","0.885","0.175","129.933","0.0346","0.0788","0","4","0.588","6","198120","-3.046","0.786","1"
"whiskey_glasses","0.68","0.115","149.992","0.0286","0.364","1.75e-06","4","0.615","6","234347","-4.582","0.702","1"
"what_hurts_the_most","0.671","0.268","136.03","0.0283","0.00842","0","4","0.527","5","214107","-5.032","0.331","0"
"yours_if_you_want_it","0.903","0.107","112.998","0.0515","0.0103","0","4","0.554","8","206827","-3.152","0.419","1"
"caught_up_in_the_country","0.904","0.528","124.102","0.0582","0.00719","0","4","0.564","7","160991","-3.808","0.637","1"
"farmers_daughter","0.791","0.112","133.977","0.0291","0.224","0","4","0.612","6","207040","-3.519","0.786","1"
"hes_mine","0.887","0.117","72.816","0.0653","0.0425","0","4","0.384","6","191027","-3.806","0.676","1"
"watching_you","0.848","0.23","137.993","0.0314","0.105","0","4","0.625","2","235427","-4.008","0.716","1"
"i_love_you_this_big","0.683","0.113","83.985","0.0305","0.0809","0.00019","4","0.527","9","246120","-6.175","0.369","1"
"see_you_tonight","0.822","0.175","169.987","0.0573","0.231","0","4","0.499","9","226320","-6.464","0.518","1"
"the_trouble_with_girls","0.492","0.11","132.016","0.0288","0.367","0","4","0.549","10","229573","-7.141","0.327","1"
"this_is_it","0.511","0.099","156.042","0.0291","0.254","0","4","0.557","8","230973","-6.788","0.602","1"
"beer_with_jesus","0.382","0.11","77.925","0.0274","0.133","0","4","0.523","8","255387","-8.386","0.274","1"
"no_beef","0.828","0.0585","127.969","0.0405","0.0194","0.316","4","0.74","4","362000","-5.17","0.259","0"
"rock_the_house","0.841","0.137","130.052","0.0868","0.0178","0.79","4","0.69","4","230792","-5.592","0.539","0"
"the_way_we_see_the_world","0.7","0.0786","127.987","0.209","0.161","0.004","4","0.782","7","413457","-6.397","0.289","1"
"turn_up_the_speakers","0.9","0.473","127.997","0.0456","0.0989","0.946","4","0.694","5","183750","-5.245","0.293","1"
"another_you","0.647","0.0921","127.979","0.033","0.00807","4.3e-05","4","0.59","6","192307","-5.06","0.39","0"
"blah_blah","0.963","0.294","138.009","0.0531","0.00897","0.00378","4","0.612","5","183519","-3.912","0.179","0"
"in_and_out_of_love","0.705","0.125","134.983","0.029","0.067","6.4e-05","4","0.528","1","181680","-6.777","0.418","1"
"ping_pong","0.985","0.0471","129.956","0.0749","0.00377","0.142","4","0.577","6","180923","-3.494","0.0748","1"
"This_Is_What_It_Feels_Like","0.831","0.0632","129.889","0.0298","0.0391","2.93e-06","5","0.552","8","204360","-5.217","0.144","1"
"im_an_albatraoz","0.817","0.11","128.078","0.235","0.601","0.00449","4","0.883","0","166849","-5.414","0.595","1"
"little_swing","0.672","0.177","126.036","0.0621","0.707","0.000604","4","0.89","7","163810","-5.532","0.598","1"
"hey_brother","0.777","0.0838","124.943","0.0473","0.0279","6.12e-05","4","0.537","7","255093","-4.829","0.427","0"
"i_could_be_the_one","0.807","0.316","127.929","0.0374","0.328","0.000146","4","0.511","6","208320","-3.699","0.586","0"
"levels","0.878","0.296","126.043","0.0337","0.0652","0.843","4","0.596","1","201933","-5.923","0.461","0"
"superlove","0.955","0.0841","128.008","0.113","0.136","0.918","4","0.729","9","322515","-6.87","0.896","0"
"the_nights","0.835","0.249","125.983","0.0433","0.0166","0","4","0.527","6","176658","-5.298","0.654","1"
"wake_me_up","0.784","0.171","124.102","0.0524","0.00346","0.00187","4","0.518","2","247427","-5.659","0.588","1"
"dreamer","0.847","0.212","126.017","0.0352","0.0237","0","4","0.627","10","251147","-5.303","0.611","1"
"more_than_you_know","0.741","0.312","123.077","0.034","0.0275","0","4","0.646","5","203000","-4.973","0.571","0"
"sun_is_shining","0.757","0.0742","131.993","0.0517","0.0866","0","4","0.467","2","254653","-3.01","0.383","1"
"derp","0.973","0.133","127.951","0.0882","0.000639","0.662","4","0.649","6","279375","-4.391","0.221","1"
"again_and_again","0.929","0.45","127.983","0.0368","0.061","0.947","4","0.549","4","181322","-3.108","0.761","0"
"switch","0.869","0.126","130.006","0.0737","0.00134","0.426","4","0.732","9","226491","-3.523","0.288","1"
"breathe","0.917","0.186","128.013","0.102","0.00171","0.664","4","0.598","0","314924","-4.63","0.198","1"
"tuesday","0.639","0.0545","99.002","0.0688","0.0156","0.0654","4","0.841","9","241875","-6.052","0.675","0"
"sweet_nothing","0.929","0.0567","127.934","0.109","0.197","0.000112","4","0.573","8","212560","-3.942","0.582","0"
"under_control","0.915","0.115","126.094","0.0841","0.129","0.000914","4","0.544","8","184280","-3.405","0.51","1"
"cola","0.74","0.135","122.007","0.0325","0.0245","0.512","3","0.706","6","223869","-7.904","0.444","1"
"beam_me_up","0.867","0.0933","125.986","0.0444","0.00916","4.46e-06","4","0.568","0","203800","-3.194","0.354","1"
"she_wants_me_dead","0.837","0.0576","106.051","0.234","0.0186","0.000161","4","0.703","9","203510","-4.933","0.68","0"
"closer","0.524","0.111","95.01","0.0338","0.414","0","4","0.748","8","244960","-5.599","0.661","1"
"selfie","0.916","0.0787","127.973","0.226","0.0134","1.22e-05","4","0.807","0","183750","-3.282","0.651","1"
"music","0.881","0.108","139.821","0.0558","0.00204","0.205","4","0.768","6","345973","-9.495","0.762","0"
"sandstorm","0.98","0.084","136.087","0.0469","0.169","0.982","4","0.539","11","225373","-8.18","0.522","0"
"bad","0.972","0.328","127.966","0.088","0.00125","0.0186","4","0.614","5","170625","-3.927","0.411","0"
"dangerous","0.747","0.107","92.161","0.0795","0.417","9.76e-06","4","0.466","4","203641","-4.838","0.43","0"
"love_is_gone","0.813","0.192","127.931","0.0797","0.0326","3.77e-05","4","0.773","4","199387","-4.609","0.708","0"
"lovers_on_the_sun","0.891","0.379","124.915","0.0387","0.0932","3.88e-06","4","0.645","6","203520","-2.505","0.568","0"
"memories","0.87","0.246","129.984","0.26","0.0015","2.8e-06","4","0.544","8","210093","-6.103","0.502","1"
"she_wolf","0.857","0.331","130.0","0.0605","0.0824","8.21e-06","4","0.504","7","222956","-2.566","0.4","1"
"your_love","0.937","0.125","125.027","0.0336","0.0997","0.496","4","0.571","2","185620","-2.682","0.512","0"
"house_every_weekend","0.574","0.102","122.053","0.0673","0.324","0","4","0.791","0","182767","-7.061","0.406","0"
"arcade_mammoth","0.968","0.356","127.964","0.0813","0.00714","0.853","4","0.552","3","255938","-4.173","0.133","0"
"body_talk","0.918","0.524","127.99","0.298","0.00253","2.35e-05","4","0.552","11","207507","-4.754","0.653","0"
"opa","0.953","0.247","127.284","0.0895","0.00988","0.329","4","0.455","6","206250","-3.784","0.243","0"
"stampede","0.52","0.0612","128.022","0.0532","0.00134","0.898","4","0.647","4","257062","-3.759","0.158","0"
"the_hum","0.947","0.367","130.005","0.0458","0.211","0.822","4","0.729","11","211000","-3.103","0.209","0"
"tremor","0.934","0.95","127.994","0.0363","0.000336","0.799","4","0.642","6","294467","-4.22","0.416","0"
"white_noise","0.844","0.311","119.978","0.0501","0.00963","0.000215","4","0.665","10","277688","-6.164","0.902","0"
"anytime","0.964","0.379","125.951","0.133","0.0265","9.72e-05","4","0.676","5","187143","-2.078","0.49","0"
"back_in_time","0.866","0.173","125.956","0.0348","0.00168","0.361","4","0.602","6","185714","-2.875","0.404","0"
"cutting_shapes","0.91","0.0937","125.812","0.225","0.0254","0","4","0.668","0","179048","-3.884","0.577","1"
"i_got_love","0.955","0.0604","122.984","0.153","0.286","0.000862","4","0.849","1","159024","-1.862","0.545","1"
"on_my_mind","0.941","0.412","125.986","0.0835","0.00547","0.812","4","0.578","5","186885","-2.452","0.274","0"
"origins","0.636","0.0881","128.018","0.0437","0.0236","0.9","4","0.784","8","308558","-5.791","0.26","0"
"need_u","0.84","0.656","123.266","0.064","0.000607","0.00188","4","0.621","5","171213","-5.52","0.496","0"
"ocean_drive","0.718","0.119","115.026","0.0431","0.00637","0.000703","4","0.686","8","206320","-5.054","0.557","0"
"wont_look_back","0.863","0.113","124.046","0.0553","0.0113","0.204","4","0.523","8","203046","-4.975","0.432","0"
"raveheart","0.986","0.283","127.972","0.322","0.00106","0.000115","4","0.5","10","210588","-2.197","0.24","1"
"raveology","0.99","0.0837","127.98","0.0714","0.0164","0.785","4","0.634","9","262515","-3.035","0.573","1"
"we_were_young","0.901","0.0608","127.952","0.101","0.00779","0.0254","4","0.467","0","367642","-4.397","0.0552","1"
"alarm","0.974","0.0422","127.967","0.0762","0.00551","0.564","4","0.609","5","240469","-3.129","0.216","0"
"pjanoo","0.874","0.112","125.99","0.0295","0.000563","0.812","4","0.604","7","157432","-4.949","0.835","0"
"space_jungle","0.988","0.112","128.049","0.142","0.000128","0.171","4","0.367","7","315000","-3.405","0.0875","0"
"Put_Your_Hands_Up_for_Detroit","0.928","0.0532","128.024","0.173","0.00146","0.853","4","0.908","1","393333","-5.972","0.207","1"
"no_heroes","0.877","0.0594","127.992","0.0451","0.00365","0.181","4","0.725","11","245002","-4.09","0.411","0"
"lamour_toujours","0.878","0.364","139.053","0.0302","0.0775","0.0227","4","0.637","7","242053","-4.449","0.742","1"
"ready_for_your_love","0.77","0.335","121.95","0.113","0.0517","0.046","4","0.691","5","198881","-7.045","0.504","1"
"infinity","0.862","0.352","128.034","0.0589","0.000313","0.00941","4","0.498","7","192294","-6.02","0.47","0"
"apollo","0.742","0.639","128.06","0.0666","0.015","0.0134","4","0.56","9","209766","-6.122","0.275","1"
"echo","0.942","0.0944","129.975","0.0438","0.00215","0.263","4","0.625","1","308308","-4.167","0.121","0"
"spaceman","0.497","0.101","139.987","0.0777","0.0235","0.768","4","0.712","11","234160","-8.976","0.238","1"
"On_Trees_and_Birds_and_Fire","0.31","0.114","200.092","0.0411","0.892","0.0779","3","0.566","10","176795","-13.572","0.698","1"
"jubel","0.476","0.0542","124.986","0.0417","0.185","0.238","4","0.698","0","283638","-7.459","0.181","1"
"this_girl","0.717","0.226","121.985","0.0393","0.0927","3.59e-05","4","0.792","0","195547","-4.759","0.466","0"
"firestone","0.652","0.077","113.055","0.052","0.408","6.63e-05","4","0.486","11","273684","-7.226","0.391","0"
"are_you_with_me","0.608","0.12","121.02","0.035","0.262","2.5e-05","4","0.763","5","138013","-8.1","0.393","0"
"6_days","0.711","0.179","104.996","0.0336","0.0272","0.252","4","0.774","7","260560","-5.78","0.348","1"
"feel","0.756","0.157","121.004","0.0436","0.038","0.162","4","0.731","1","172559","-4.937","0.723","0"
"animals","0.866","0.415","128.007","0.039","0.00181","0.746","4","0.675","1","303827","-6.454","0.0379","1"
"so_far_away","0.52","0.197","149.119","0.0569","0.435","0","4","0.526","6","183637","-7.985","0.13","0"
"the_only_way_is_up","0.736","0.0914","128.179","0.0309","0.00296","0.921","4","0.597","1","258440","-7.793","0.172","0"
"i_took_a_pill_in_ibiza","0.713","0.0843","101.965","0.112","0.0353","7.68e-06","4","0.663","7","197933","-6.647","0.69","0"
"youre_gonna_love_again","0.894","0.135","125.976","0.0732","0.0111","0.0172","4","0.408","1","201307","-5.209","0.275","0"
"toulouse","0.91","0.218","128.001","0.101","0.0338","0.69","4","0.76","5","365626","-3.842","0.266","0"
"wish_you_were_mine","0.831","0.0911","123.002","0.029","0.0114","0.05","4","0.654","7","177561","-4.008","0.378","0"
"flashlight","0.949","0.27","128.014","0.0454","0.0128","0.6","4","0.705","10","232500","-3.575","0.274","1"
"revolution","0.862","0.79","127.967","0.0384","0.00991","0.0211","4","0.622","7","203438","-4.89","0.0472","0"
"samurai","0.821","0.218","128.019","0.0382","0.00887","0.773","4","0.63","2","296250","-4.976","0.235","0"
"soundwave","0.828","0.0591","127.963","0.0572","0.00982","0","4","0.727","4","264375","-3.459","0.393","1"
"sun_goes_down","0.723","0.337","125.088","0.0375","0.0969","1.28e-05","4","0.548","6","179960","-6.002","0.499","1"
"calling","0.871","0.2","125.043","0.0458","0.0124","0.000128","4","0.412","1","205440","-4.893","0.141","0"
"reload","0.724","0.0631","128.038","0.0522","0.0736","0","4","0.484","9","221280","-4.633","0.433","0"
"booyah","0.963","0.351","128.011","0.0549","0.00925","0.00258","4","0.564","3","229219","-1.501","0.594","0"
"get_loose","0.953","0.217","136.341","0.132","0.00021","0.667","4","0.413","1","334300","-3.609","0.166","1"
"nobody_to_love","0.908","0.198","87.508","0.0372","0.000502","1.62e-05","4","0.516","8","189667","-3.312","0.23","1"
"boneless","0.962","0.352","127.99","0.0629","0.00445","0.613","4","0.743","11","270000","-3.205","0.643","0"
"the_power_of_now","0.956","0.229","127.957","0.041","0.0261","0.588","4","0.744","4","201094","-3.105","0.332","0"
"waste_it_on_me","0.684","0.72","96.097","0.0585","0.252","0","4","0.669","7","192537","-4.595","0.466","1"
"dont_you_worry_child","0.84","0.116","129.042","0.0509","0.112","0","4","0.612","11","212862","-3.145","0.438","0"
"greyhound","0.806","0.276","124.976","0.0521","0.00666","0.876","4","0.723","0","410097","-4.989","0.539","1"
"one","0.781","0.147","125.026","0.0368","0.0075","0.825","4","0.802","0","169920","-6.564","0.622","1"
"save_the_world","0.665","0.0759","126.879","0.0474","0.0144","0","4","0.507","0","213338","-7.598","0.4","1"
"affliction","0.573","0.146","139.913","0.0469","0.00916","0.014","4","0.498","8","331498","-6.757","0.0738","0"
"cmon","0.92","0.109","128.021","0.0466","0.000623","0.772","4","0.722","7","245733","-6.824","0.0374","0"
"dance4life","0.804","0.0939","131.984","0.0611","0.00522","0.603","4","0.721","6","318787","-7.376","0.31","0"
"red_lights","0.83","0.121","124.989","0.0366","0.000629","1.13e-06","4","0.654","10","262200","-4.801","0.548","1"
"secrets","0.811","0.0896","128.004","0.043","0.0012","0.00761","4","0.677","11","216967","-4.53","0.185","0"
"the_right_song","0.894","0.322","125.031","0.0898","0.459","0.000106","4","0.546","8","205440","-3.56","0.387","1"
"drop_that_low","0.896","0.121","125.744","0.372","0.00945","0.836","4","0.586","5","160000","-4.132","0.103","0"
"one_on_one","0.774","0.0281","100.026","0.0834","0.153","0.000542","4","0.767","9","177900","-4.657","0.576","0"
"lose_control","0.979","0.388","128.065","0.0691","0.0112","0.24","4","0.626","6","178125","-2.757","0.35","0"
"raise_your_hands","0.969","0.114","127.994","0.0448","0.00168","0.826","4","0.729","4","269067","-3.327","0.0697","1"
"bump_and_grind","0.709","0.369","123.011","0.115","0.0019","0.00522","4","0.536","11","180280","-5.855","0.404","0"
"kernkraft_400","0.528","0.0819","139.983","0.0692","0.00415","0.854","4","0.714","6","207267","-8.789","0.297","1"
"would","0.832","0.091","100.677","0.0398","0.000332","2.4e-05","4","0.305","6","206773","-7.981","0.585","1"
"not_alone","0.979","0.282","102.978","0.0941","5.37e-05","0.000404","4","0.54","5","210000","-2.594","0.322","0"
"the_last_time","0.96","0.0771","103.029","0.0514","0.00156","0","4","0.519","1","238307","-2.315","0.374","0"
"the_thunder_rolls","0.889","0.112","159.879","0.0523","0.000274","0.131","4","0.336","2","263067","-5.291","0.243","1"
"this_probably_won't_end_well","0.921","0.115","107.483","0.0566","0.00884","0","4","0.482","1","228680","-3.828","0.134","0"
"the_devil_you_know","0.934","0.0938","97.036","0.0872","1.05e-05","0.000549","4","0.57","1","286280","-4.496","0.45","1"
"hereafter","0.973","0.224","121.018","0.0849","4.58e-05","0.00326","4","0.513","6","255587","-4.115","0.159","0"
"hail_to_the_king","0.887","0.132","118.035","0.0362","0.000376","0.0518","4","0.585","3","304880","-5.086","0.711","0"
"nightmare","0.949","0.2","129.984","0.0787","0.000318","9.98e-05","4","0.554","2","374453","-4.928","0.233","1"
"zombie","0.826","0.117","77.093","0.0319","0.00756","0","4","0.448","2","254805","-3.244","0.19","0"
"failure","0.89","0.0685","155.008","0.0382","2.99e-05","0.00909","4","0.462","1","214853","-4.853","0.383","1"
"i_will_not_bow","0.952","0.38","107.942","0.0668","0.000192","7.8e-06","4","0.543","8","216733","-3.65","0.591","1"
